Sqft_Living,Bedrooms,Bathrooms,Floors,Pincode,Sale_Price (₹),Year_Sold,Month_Sold,Quarter_Sold,Age_of_Property,YoY_Price_Change (%),Demand_Index,Event_Occurred,Inflation_Rate (%),GDP_Growth (%),Season,Years_Since_Event,Development_Project_Proximity
2343,5,1,2,600001,8259245,2021,8,3,29,4.73,98,Yes,3.89,6.64,Monsoon,8,2.9
988,4,3,2,627001,8046528,2023,1,1,30,4.01,82,Yes,4.84,6.27,Winter,5,2.1
2459,4,3,2,625001,10011673,2022,8,3,15,7.04,72,Yes,5.92,6.04,Monsoon,3,3.2
2163,3,3,2,636001,5868921,2012,5,2,25,3.27,90,Yes,3.89,6.89,Summer,1,4.9
2885,2,3,1,625001,11177039,2013,12,4,9,3.35,97,No,3.97,7.82,Winter,9,5.0
1140,5,2,1,627001,6003225,2020,7,3,11,5.2,75,Yes,5.82,6.61,Monsoon,8,4.0
2302,5,2,1,620001,13718126,2013,11,4,16,4.26,88,Yes,5.26,6.39,Festival,3,2.3
2469,4,1,2,627001,8637291,2023,11,4,25,6.73,84,No,3.88,7.85,Festival,8,2.7
2698,2,1,2,627001,8034253,2020,1,1,29,6.17,73,Yes,4.48,6.21,Winter,1,2.1
1938,3,1,1,620001,7228316,2014,2,1,23,6.86,90,Yes,3.64,6.1,Winter,6,4.9
2134,2,1,2,620001,12055383,2022,1,1,25,4.62,72,No,4.58,7.76,Winter,4,3.7
762,1,3,2,620001,6578478,2018,5,2,29,6.7,73,Yes,5.44,7.4,Summer,7,2.5
2287,2,2,1,620001,11072590,2021,6,2,35,7.31,74,No,4.88,6.84,Monsoon,7,0.6
2691,1,2,1,620001,8926983,2018,10,4,11,4.73,87,Yes,5.12,7.5,Festival,3,2.8
2893,1,1,2,627001,9323617,2019,9,3,22,4.7,95,No,4.32,7.48,Festival,3,4.9
1123,3,1,2,641001,3454529,2022,8,3,31,7.5,94,Yes,3.9,6.08,Monsoon,7,2.9
1516,4,3,2,641001,13732826,2021,7,3,28,3.25,79,Yes,3.53,7.35,Monsoon,2,1.3
1380,2,3,1,600001,14249737,2023,12,4,29,4.75,77,No,5.55,7.28,Winter,6,0.6
2549,1,1,1,641001,12500374,2010,5,2,15,3.59,81,Yes,5.09,7.93,Summer,7,2.1
1827,2,2,1,636001,10586288,2023,3,1,42,3.14,91,No,4.07,7.93,Summer,7,4.6
2801,4,2,1,641001,10261511,2023,9,3,14,3.56,95,No,4.55,6.76,Festival,9,5.0
952,4,2,2,627001,14809755,2017,5,2,8,5.16,96,No,5.5,7.18,Summer,3,4.8
1683,5,1,1,620001,11927811,2023,3,1,26,6.43,72,No,4.85,6.28,Summer,8,3.8
2556,4,2,1,620001,4311629,2010,3,1,19,4.45,96,Yes,4.25,6.13,Summer,9,3.0
2182,3,3,2,627001,3900542,2011,3,1,16,7.25,87,No,4.17,6.87,Summer,3,3.2
2755,1,3,2,636001,14600244,2016,6,2,24,5.19,92,Yes,4.04,7.38,Monsoon,7,2.9
1654,5,1,2,641001,6954780,2017,1,1,18,7.84,77,Yes,5.56,7.14,Winter,5,3.7
903,3,3,1,627001,5945759,2010,11,4,14,7.77,95,No,4.95,6.86,Festival,4,2.4
2699,2,1,2,600001,11683376,2012,4,2,15,6.87,70,No,5.27,7.64,Summer,3,3.5
2601,1,2,2,620001,6352921,2016,8,3,34,7.66,83,Yes,5.65,7.59,Monsoon,4,1.0
2196,4,2,1,625001,3061264,2022,3,1,20,6.54,91,No,5.97,7.46,Summer,0,1.7
1127,1,2,1,600001,8094502,2018,5,2,29,7.48,92,Yes,4.12,6.15,Summer,6,4.3
1086,2,3,2,636001,5459507,2017,2,1,37,4.18,82,No,3.95,7.59,Winter,7,4.6
2148,5,1,1,600001,6452097,2017,2,1,32,4.73,94,Yes,4.65,7.84,Winter,8,2.9
1943,5,2,2,627001,10292306,2018,11,4,36,6.76,81,Yes,3.59,6.12,Festival,2,0.6
1945,5,1,2,641001,14739799,2019,7,3,21,5.12,72,No,5.48,6.8,Monsoon,8,4.7
603,4,2,1,620001,4218284,2012,10,4,29,7.19,87,Yes,5.71,7.98,Festival,9,3.7
753,3,3,2,636001,10088727,2017,3,1,9,7.39,90,Yes,5.22,7.2,Summer,4,2.4
1996,3,3,1,636001,6080202,2010,5,2,11,4.5,82,No,4.17,7.03,Summer,9,3.2
598,1,1,1,625001,9002874,2017,3,1,15,7.12,84,No,3.81,6.35,Summer,5,2.4
2700,4,3,1,600001,10518933,2022,6,2,40,3.77,79,No,4.46,7.13,Monsoon,0,2.6
2384,5,3,2,625001,8383182,2016,10,4,29,4.67,70,No,5.58,6.88,Festival,8,4.5
2419,5,1,1,641001,13336666,2022,3,1,35,5.59,98,No,4.37,6.25,Summer,8,1.2
1377,2,2,1,641001,7688827,2017,8,3,11,4.13,75,Yes,3.59,6.93,Monsoon,5,1.0
837,2,3,2,625001,9517320,2010,2,1,2,5.9,78,Yes,4.19,6.33,Winter,7,0.5
1456,5,1,2,620001,8792819,2015,3,1,29,5.89,79,No,5.97,7.46,Summer,3,1.9
2204,5,3,2,641001,12010815,2016,8,3,35,4.03,84,Yes,5.19,7.95,Monsoon,4,1.2
660,4,3,2,625001,10642139,2023,8,3,23,6.98,78,Yes,5.75,6.94,Monsoon,4,1.5
2103,3,3,1,600001,12030672,2020,1,1,35,6.16,92,Yes,5.44,7.26,Winter,6,0.6
897,2,3,1,625001,3865630,2014,8,3,7,4.59,83,Yes,4.85,6.86,Monsoon,6,1.5
1800,3,1,1,625001,8387691,2023,10,4,28,4.16,80,Yes,3.87,6.28,Festival,6,2.0
1315,4,1,2,627001,7325001,2014,2,1,25,7.39,76,No,4.37,7.94,Winter,4,0.6
2027,5,1,2,641001,14335486,2016,12,4,33,7.18,93,No,4.96,6.26,Winter,3,3.2
2419,3,3,1,620001,13374108,2020,7,3,28,4.15,95,Yes,5.68,6.22,Monsoon,7,3.1
1915,5,3,2,620001,5972881,2012,6,2,23,3.18,99,Yes,4.17,6.92,Monsoon,0,0.9
